MCC,Название,Группа,Обновлено
3251,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3252,ALM Antilean Airlines (ALM),"Авиалинии, авиакомпании",17.04.17
3253,America West (AMERWEST),"Авиалинии, авиакомпании",17.04.17
3254,Trump Airline,"Авиалинии, авиакомпании",30.12.17
3256,Alaska Airlines Inc. (ALASKA A),"Авиалинии, авиакомпании",18.04.17
3257,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3258,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3259,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3260,Spirit Airlines (SPIRIT),"Авиалинии, авиакомпании",18.04.17
3261,Air China (AIR CHINA),"Авиалинии, авиакомпании",17.04.17
3262,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3263,Aero Servicio Carabobo (ASERCA),"Авиалинии, авиакомпании",18.04.17
3264,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",14.10.17
3265,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3266,Air Seychelles (AIR SEYC),"Авиалинии, авиакомпании",17.04.17
3267,Air Panama International (AIR PANA),"Авиалинии, авиакомпании",18.04.17
3268,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3270,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3274,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3275,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3276,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3277,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3278,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3279,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3280,Air Jamaica (AIR JAMA),"Авиалинии, авиакомпании",17.04.17
3281,Air Djibouti (AIR DJIB),"Авиалинии, авиакомпании",14.10.17
3282,Air Djibouti (AIR DJIB),"Авиалинии, авиакомпании",18.04.17
3283,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3284,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3285,Aero Peru (AEROPERU),"Авиалинии, авиакомпании",17.04.17
3286,Aero Nicaraguenses (AERO NIC),"Авиалинии, авиакомпании",18.04.17
3287,Aero Coach Aviation (AEROCOAC),"Авиалинии, авиакомпании",18.04.17
3288,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3289,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3290,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3291,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3292,Cyprus Airways (CYPRUSA),"Авиалинии, авиакомпании",18.04.17
3293,Ecuatoriana (ECUATORI),"Авиалинии, авиакомпании",18.04.17
3294,Ethiopian Airlines (ETHIOPIA),"Авиалинии, авиакомпании",17.04.17
3295,Kenya Airways (KENYAAIR),"Авиалинии, авиакомпании",18.04.17
3296,Air Berlin (AIRBERLIN),"Авиалинии, авиакомпании",17.04.17
3297,Tarom Romanian Air Transport (TAROM AIR),"Авиалинии, авиакомпании",17.04.17
3298,Air Mauritius (AIRMAURI),"Авиалинии, авиакомпании",18.04.17
3299,Wideroes Flyveselskap (WIDEROES),"Авиалинии, авиакомпании",18.04.17
3300,Azul Air (AZU),"Авиалинии, авиакомпании",18.04.19
3301,Wizz Air (W6),"Авиалинии, авиакомпании",18.04.19
3351, Affiliated Auto Rental,Аренда автомобилей,17.04.17
3352, American Intl Rent-a-car,Аренда автомобилей,18.04.17
3353, Brooks Rent-a-car,Аренда автомобилей,18.04.17
3354, Action Auto Rental,Аренда автомобилей,18.04.17
3355,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3356,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3357, Hertz Rent-a-car,Аренда автомобилей,18.04.17
3358,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3359, Payless Car Rental,Аренда автомобилей,17.04.17
3360, Snappy Car Rental,Аренда автомобилей,17.04.17
3361, Airways Rent-a-car,Аренда автомобилей,17.04.17
3362, Altra Auto Rental,Аренда автомобилей,13.04.17
3363,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3364, Agency Rent-a-car,Аренда автомобилей,18.04.17
3365,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3366, Budget Rent-a-car,Аренда автомобилей,16.04.17
3367,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3368, Holiday Rent-a-wreck,Аренда автомобилей,18.04.17
3369,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3370, Rent-a-wreck,Аренда автомобилей,16.04.17
3371,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3372,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3373,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3374,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3375,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3376, Ajax Rent-a-car,Аренда автомобилей,17.04.17
3377,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3378,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3379,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3380,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3381, Europ Car,Аренда автомобилей,18.04.17
3382,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3383,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3384,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3385, Tropical Rent-a-car,Аренда автомобилей,17.04.17
3386, Showcase Rental Cars,Аренда автомобилей,13.04.17
3387, Alamo Rent-a-car,Аренда автомобилей,18.04.17
3388,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3389, Avis Rent-a-car,Аренда автомобилей,18.04.17
3390, Dollar Rent-a-car,Аренда автомобилей,18.04.17
3391, Europe By Car,Аренда автомобилей,18.04.17
3392,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3393, National Car Rental,Аренда автомобилей,17.04.17
3394, Kemwell Group Rent-a-car,Аренда автомобилей,16.04.17
3395, Thrifty Rent-a-car,Аренда автомобилей,17.04.17
3396, Tilden Tent-a-car,Аренда автомобилей,17.04.17
3397,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3398, Econo-car Rent-a-car,Аренда автомобилей,18.04.17
3399,Amerex Rent-a-Car,Аренда автомобилей,14.10.17
3400, Auto Host Cost Car Rentals,Аренда автомобилей,17.04.17
3401,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3402,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3403,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3404,Агентства по аренде автомобилей,Аренда автомобилей,18.04.17
3405, Enterprise Rent-a-car,Аренда автомобилей,18.04.17
3406,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3407,Агентства по аренде автомобилей,Аренда автомобилей,16.04.17
3408,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3409, General Rent-a-car,Аренда автомобилей,17.04.17
3410,Агентства по аренде автомобилей,Аренда автомобилей,17.04.17
3412, A-1 Rent-a-car,Аренда автомобилей,17.04.17
3413,Агентства по аренде автомобилей,Аренда автомобилей,16.04.17
3414, Godfrey Natl Rent-a-car,Аренда автомобилей,18.04.17
